Anno;Codice;Comune;Provincia;Eta;Celibi;Coniugati;Divorziati;Vedovi;TotaleMaschi;Nubili;Coniugate;Divorziate;Vedove;TotaleFemmine;PopolazioneTotale
2013;51001;Anghiari;AR;0;16;0;0;0;16;19;0;0;0;19;35
2013;51001;Anghiari;AR;1;19;0;0;0;19;19;0;0;0;19;38
2013;51001;Anghiari;AR;2;25;0;0;0;25;17;0;0;0;17;42
2013;51001;Anghiari;AR;3;23;0;0;0;23;17;0;0;0;17;40
2013;51001;Anghiari;AR;4;20;0;0;0;20;21;0;0;0;21;41
2013;51001;Anghiari;AR;5;17;0;0;0;17;19;0;0;0;19;36
2013;51001;Anghiari;AR;6;18;0;0;0;18;24;0;0;0;24;42
2013;51001;Anghiari;AR;7;19;0;0;0;19;25;0;0;0;25;44
2013;51001;Anghiari;AR;8;21;0;0;0;21;24;0;0;0;24;45
2013;51001;Anghiari;AR;9;21;0;0;0;21;30;0;0;0;30;51
2013;51001;Anghiari;AR;10;28;0;0;0;28;22;0;0;0;22;50
2013;51001;Anghiari;AR;11;21;0;0;0;21;11;0;0;0;11;32
2013;51001;Anghiari;AR;12;27;0;0;0;27;25;0;0;0;25;52
2013;51001;Anghiari;AR;13;19;0;0;0;19;20;0;0;0;20;39
2013;51001;Anghiari;AR;14;23;0;0;0;23;17;0;0;0;17;40
2013;51001;Anghiari;AR;15;34;0;0;0;34;20;0;0;0;20;54
2013;51001;Anghiari;AR;16;20;0;0;0;20;14;0;0;0;14;34
2013;51001;Anghiari;AR;17;27;0;0;0;27;17;0;0;0;17;44
2013;51001;Anghiari;AR;18;21;0;0;0;21;17;0;0;0;17;38
2013;51001;Anghiari;AR;19;23;0;0;0;23;24;0;0;0;24;47
2013;51001;Anghiari;AR;20;27;0;0;0;27;24;0;0;0;24;51
2013;51001;Anghiari;AR;21;27;0;0;0;27;20;1;0;0;21;48
2013;51001;Anghiari;AR;22;16;0;0;0;16;18;4;0;0;22;38
2013;51001;Anghiari;AR;23;31;0;0;0;31;28;0;0;0;28;59
2013;51001;Anghiari;AR;24;17;1;0;0;18;19;2;0;0;21;39
2013;51001;Anghiari;AR;25;23;1;0;0;24;22;2;0;0;24;48
2013;51001;Anghiari;AR;26;30;4;0;0;34;22;8;0;0;30;64
2013;51001;Anghiari;AR;27;29;3;0;0;32;24;5;0;0;29;61
2013;51001;Anghiari;AR;28;34;3;0;0;37;25;6;0;0;31;68
2013;51001;Anghiari;AR;29;24;7;0;0;31;19;8;0;0;27;58
2013;51001;Anghiari;AR;30;21;4;0;0;25;14;17;0;0;31;56
2013;51001;Anghiari;AR;31;20;6;0;0;26;13;11;0;0;24;50
2013;51001;Anghiari;AR;32;24;6;0;0;30;20;14;1;1;36;66
2013;51001;Anghiari;AR;33;16;12;1;0;29;12;11;0;0;23;52
2013;51001;Anghiari;AR;34;22;7;0;0;29;14;20;2;0;36;65
2013;51001;Anghiari;AR;35;17;12;1;0;30;12;13;0;0;25;55
2013;51001;Anghiari;AR;36;18;19;0;0;37;14;23;2;0;39;76
2013;51001;Anghiari;AR;37;19;19;0;0;38;15;19;1;0;35;73
2013;51001;Anghiari;AR;38;22;14;0;0;36;18;20;1;0;39;75
2013;51001;Anghiari;AR;39;13;23;1;0;37;14;26;0;0;40;77
2013;51001;Anghiari;AR;40;16;28;0;0;44;11;23;1;0;35;79
