"","sesso","titolo","giuridica2","area","corso","aula","edizione","ore","trimestre","iscritti","formati","esito"
"1","M","LICENZA SCUOLA MEDIA               ","Categoria B","TECNICO-SPECIALISTICA                   ","GUIDA SICURA                                                                    ","FUORI","B08RP",8,2,1,1,1
"2","M","LICENZA SCUOLA MEDIA               ","Categoria B","COMPETENZE TRASVERSALI                  ","GLI AUTISTI DI RAPPRESENTANZA                                                   ","FUORI","B09AT",8,4,1,NA,0
"3","M","LICENZA SCUOLA MEDIA               ","Categoria B","TECNICO-SPECIALISTICA                   ","GUIDA SICURA                                                                    ","FUORI","B08RP",8,2,1,1,1
"4","M","LICENZA SCUOLA MEDIA               ","Categoria B","COMPETENZE TRASVERSALI                  ","GLI AUTISTI DI RAPPRESENTANZA                                                   ","FUORI","B09AT",8,4,1,1,1
"5","F","LICENZA SCUOLA MEDIA               ","Categoria C","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO BASE                     ","DENTRO","C09AL",16,2,1,1,1
"6","M","SPECIALIZZAZIONI POSTLAUREA        ","Qualifica dirigenziale","MANAGERIALE                             ","SERVIZIO DI AGGIORNAMENTO PERMANENTE - AMBROSETTI                               ","FUORI","F09MD",8,2,1,NA,0
"7","F","DIPLOMA DI QUALIFICA               ","Categoria C","ORGANIZZAZIONE E RISORSE UMANE          ","GESTIRE IL CAMBIAMENTO                                                          ","DENTRO","POGRU",16,1,1,NA,0
"8","F","LAUREA                             ","Categoria D","MANAGERIALE                             ","LA GOVERNANCE DELLE RETI DI PUBBLICO INTERESSE                                  ","FUORI","A09CB",40,3,1,1,1
"9","F","DIPLOMA DI MATURITA                ","Categoria D","GIURIDICA                               ","TECNICHE DI REDAZIONE E CONTROLLO DI ATTI AMMINISTRATIVI                        ","DENTRO","D09AL",28,4,1,1,1
"10","F","LAUREA                             ","Qualifica dirigenziale","ECONOMICO FINANZIARIA                   ","IL MODELLO DI PROGRAMMAZIONE REGIONALE                                          ","FUORI","D09MS",24,4,1,NA,0
"11","F","LAUREA                             ","Qualifica dirigenziale","EUROPEA                                 ","I FONDI STRUTTURALI                                                             ","DENTRO","C09AL",16,4,1,NA,0
"12","F","LAUREA                             ","Qualifica dirigenziale","ORGANIZZAZIONE E RISORSE UMANE          ","IL RAPPORTO DI LAVORO NELLA PUBBLICA AMMINISTRAZIONE                            ","DENTRO","B09MM",12,4,1,NA,0
"13","F","DIPLOMA DI QUALIFICA               ","Categoria D","ECONOMICO FINANZIARIA                   ","L'ORDINAMENTO CONTABILE DELLA REGIONE TOSCANA                                   ","DENTRO","E09AT",20,4,1,1,1
"14","F","LAUREA                             ","Categoria D","ORGANIZZAZIONE E RISORSE UMANE          ","ELEMENTI DI ORGANIZZAZIONE - CORSO BASE                                         ","DENTRO","B09MS",16,3,1,1,1
"15","F","LAUREA                             ","Categoria D","GIURIDICA                               ","IL NUOVO PROCEDIMENTO AMMINISTRATIVO                                            ","FUORI","C09MS",8,4,1,1,1
"16","F","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","UTILIZZO EFFICACE E CORRETTO DELLA PROPRIA POSTAZIONE DI LAVORO                 ","DENTRO","C09MM",16,4,1,NA,0
"17","M","DIPLOMA DI MATURITA                ","Categoria D","ECONOMICO FINANZIARIA                   ","LA COSTRUZIONE E LA VALUTAZIONE DEL PIANO ECONOMICO FINANZIARIO DI UNA INIZIATIV","FUORI","A09MS",32,1,1,NA,0
"18","F","LAUREA                             ","Categoria D","MANAGERIALE                             ","COMUNICARE IL CAMBIAMENTO                                                       ","FUORI","A09MM",16,3,1,1,1
